"GO.ID","Term","Annotated","Significant","Expected","pvalue"
"GO:0043653","mitochondrial fragmentation involved in apoptotic process",12,4,1.35,0.03776
"GO:0071679","commissural neuron axon guidance",12,4,1.35,0.03776
"GO:0071635","negative regulation of transforming growth factor beta production",12,4,1.35,0.03776
"GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell",12,4,1.35,0.03776
"GO:1900272","negative regulation of long-term synaptic potentiation",12,4,1.35,0.03776
"GO:0048814","regulation of dendrite morphogenesis",58,10,6.53,0.03782
"GO:2001135","regulation of endocytic recycling",23,6,2.59,0.03783
"GO:0038128","ERBB2 signaling pathway",23,6,2.59,0.03783
"GO:0097237","cellular response to toxic substance",130,14,14.63,0.03797
"GO:0060392","negative regulation of SMAD protein signal transduction",29,7,3.26,0.03825
"GO:0016032","viral process",364,36,40.98,0.03826
"GO:0050709","negative regulation of protein secretion",58,10,6.53,0.03827
"GO:0006397","mRNA processing",499,45,56.17,0.03993
"GO:0051604","protein maturation",573,59,64.51,0.04074
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction",223,34,25.1,0.04088
"GO:0045471","response to ethanol",124,23,13.96,0.04114
"GO:0099536","synaptic signaling",743,171,83.64,0.04276
"GO:0072657","protein localization to membrane",428,83,48.18,0.04294
"GO:1990138","neuron projection extension",133,28,14.97,0.0432
"GO:0030036","actin cytoskeleton organization",687,89,77.34,0.04323
"GO:0099560","synaptic membrane adhesion",36,8,4.05,0.04346
"GO:0045773","positive regulation of axon extension",36,8,4.05,0.04346
"GO:0120009","intermembrane lipid transfer",49,10,5.52,0.04373
"GO:0002888","positive regulation of myeloid leukocyte mediated immunity",18,5,2.03,0.04407
"GO:0048169","regulation of long-term neuronal synaptic plasticity",18,5,2.03,0.04407
"GO:0098901","regulation of cardiac muscle cell action potential",30,6,3.38,0.0441
"GO:0043001","Golgi to plasma membrane protein transport",43,13,4.84,0.04471
"GO:0071312","cellular response to alkaloid",30,7,3.38,0.04521
"GO:1903077","negative regulation of protein localization to plasma membrane",30,7,3.38,0.04521
"GO:0030032","lamellipodium assembly",59,15,6.64,0.04528
"GO:0001764","neuron migration",114,18,12.83,0.04714
"GO:2000146","negative regulation of cell motility",302,44,34,0.04918
"GO:0032006","regulation of TOR signaling",151,27,17,0.04918
"GO:0007163","establishment or maintenance of cell polarity",182,31,20.49,0.04931
"GO:0071383","cellular response to steroid hormone stimulus",194,26,21.84,0.04967
"GO:0071676","negative regulation of mononuclear cell migration",28,7,3.15,0.0497
"GO:0031365","N-terminal protein amino acid modification",13,4,1.46,0.0498
"GO:0048548","regulation of pinocytosis",13,4,1.46,0.0498
"GO:0071380","cellular response to prostaglandin E stimulus",13,4,1.46,0.0498
"GO:0031115","negative regulation of microtubule polymerization",13,4,1.46,0.0498
"GO:1903564","regulation of protein localization to cilium",13,4,1.46,0.0498
"GO:0022038","corpus callosum development",13,4,1.46,0.0498
"GO:0045040","protein insertion into mitochondrial outer membrane",13,4,1.46,0.0498
"GO:0061052","negative regulation of cell growth involved in cardiac muscle cell development",13,4,1.46,0.0498
"GO:0006596","polyamine biosynthetic process",13,4,1.46,0.0498
"GO:1900025","negative regulation of substrate adhesion-dependent cell spreading",13,4,1.46,0.0498
"GO:0035089","establishment of apical/basal cell polarity",13,4,1.46,0.0498
"GO:0016079","synaptic vesicle exocytosis",97,26,10.92,0.05075
"GO:0051492","regulation of stress fiber assembly",84,22,9.46,0.05093
"GO:2000278","regulation of DNA biosynthetic process",82,16,9.23,0.05133
"GO:0000266","mitochondrial fission",38,8,4.28,0.05154
"GO:0098664","G protein-coupled serotonin receptor signaling pathway",18,5,2.03,0.05159
"GO:0032479","regulation of type I interferon production",134,18,15.08,0.0516
"GO:0044703","multi-organism reproductive process",149,19,16.77,0.05165
"GO:0001504","neurotransmitter uptake",43,7,4.84,0.05165
"GO:0098884","postsynaptic neurotransmitter receptor internalization",36,5,4.05,0.05174
"GO:1901379","regulation of potassium ion transmembrane transport",59,15,6.64,0.05388
