Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000256060	TRAPPC2B	-0.09755259280047768	-4.368469256009691	4.999763017697535e-05	0.013136877288543318	Not significant
ENSG00000186951	PPARA	0.23436011858018535	4.345014225699569	5.078643608407228e-05	0.013136877288543318	Up
ENSG00000166123	GPT2	0.3096548327182278	4.339603418944371	5.130664211766826e-05	0.013136877288543318	Up
ENSG00000129636	ITFG1	-0.2970994770873494	-4.339230427698742	5.139954527770408e-05	0.013136877288543318	Down
ENSG00000127463	EMC1	-0.2398713029267081	-4.346341223635246	5.2098851545254464e-05	0.013136877288543318	Down
ENSG00000240694	PNMA2	-0.4066293860747203	-4.337388126789817	5.260461977956982e-05	0.013136877288543318	Down
ENSG00000172348	RCAN2	-0.41012558297935353	-4.327962814527871	5.3487457179090136e-05	0.013136877288543318	Down
ENSG00000120265	PCMT1	-0.32185375549750095	-4.363758741116771	5.351648303837743e-05	0.013136877288543318	Down
ENSG00000089022	MAPKAPK5	-0.11999900483509185	-4.381102804980932	5.355552400424265e-05	0.013136877288543318	Down
ENSG00000165943	MOAP1	-0.37440174765861567	-4.3411750701505945	5.356969893762245e-05	0.013136877288543318	Down
ENSG00000113575	PPP2CA	-0.37371140761028165	-4.341989601906268	5.367150247740061e-05	0.013136877288543318	Down
ENSG00000019505	SYT13	-0.5182035365851263	-4.345999330445923	5.3863710418227185e-05	0.013136877288543318	Down
ENSG00000174453	VWC2L	-0.17601518786892112	-4.329604896678814	5.4238438949277274e-05	0.013136877288543318	Down
ENSG00000273175		-0.13305886289160712	-4.337514875605922	5.4884846275979454e-05	0.013136877288543318	Down
ENSG00000262312		0.15234016261088712	4.337230664539018	5.5376644368602164e-05	0.013136877288543318	Up
ENSG00000182013	PNMA8A	-0.38583442431877346	-4.344193251458399	5.560468050428319e-05	0.013136877288543318	Down
ENSG00000101017	CD40	0.08854155891382454	4.321714915688697	5.566064982480675e-05	0.013136877288543318	Not significant
ENSG00000155849	ELMO1	-0.19347397346021467	-4.32198072829936	5.61660465590196e-05	0.013136877288543318	Down
ENSG00000286198		-0.14898691966252686	-4.328480031331859	5.7362847238252256e-05	0.013136877288543318	Down
